동물보호센터명,관리기관명,동물보호센터유형,구조대상동물,소재지도로명주소,소재지지번주소,위도,경도,동물보호센터지정일자,평일운영시작시각,평일운영종료시각,평일분양시작시각,평일분양종료시각,주말운영시작시각,주말운영종료시각,주말분양시작시각,주말분양종료시각,휴무일,수의사인원수,사양관리사인원수,진료실수,사육실수,격리실수,사료보관실수,구조운반용차량보유대수,전화번호,데이터기준일자,제공기관코드,제공기관명,
누리동물보호센터,해운대구청,동물병원,유기유실동물 및 피학대동물,부산광역시 해운대구 해운대로 1252(송정동),부산광역시 해운대구 송정동 81-5,35.19653562,129.2060944,2016-12-13,09:00,18:00,09:00,18:00,00:00,00:00,,,구조보호활동 휴무 없음(사무실은 주말 휴무),2,2,1,5,1,1,2,051-701-7599,2019-05-10,3330000,부산광역시 해운대구,
가정동물병원,인천광역시 서구청,동물병원,유기동물,인천광역시 서구 가정로 346,인천광역시 서구 가정동 517-32,37.515592,126.672994,2016-01-01,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,"추석, 설명절",2,1,2,3,1,,1,032-575-0833,2018-08-09,3560000,인천광역시 서구,
고양시동물보호센터,농업기술센터,동물병원,"유기유실동물, 부상길고양이, 3개월령 이하 길고양이",경기도 고양시 덕양구 고양대로 1695,경기도 고양시 덕양구 원흥동 471-10,37.649912,126.870154,2014-01-20,09:00,22:00,15:00,17:00,09:00,22:00,,,연중무휴,1,4,1,7,3,1,2,031-962-3232,2018-08-23,3940000,경기도 고양시,
강현림동물병원,서울특별시 양천구청,동물병원,반려동물,서울특별시 양천구 등촌로 160,,37.5439796,126.8624166,2017-03-01,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,매주일요일,1,2,2,2,2,1,1,02-2642-9159,2019-05-31,3140000,서울특별시 양천구,
(사)한국동물구조관리협회,서울특별시 은평구청,법인,개+고양이,경기도 양주시 남면 감악산로 63-37(상수리),경기도 양주시 남면 상수리 410-1,37.8700725000,126.9832252000,2017-02-24,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,"일요일,공휴일",1,6,1,7,1,1,5,031-867-9119,2019-08-21,3110000,서울특별시 은평구,
동해시유기동물보호소,동해시농업기술센터,단체,"개, 고양이",강원도 동해시 대동로 159-13,강원도 동해시 송정동 1708,37.4996946,129.1285969,2011-01-02,09:30,17:00,13:00,15:00,10:00,15:00,00:00,00:00,없음,1,3,0,2,1,1,1,033-522-2990,2019-04-30,4210000,강원도 동해시,
다온 유기동물 보호센터,축산과,개인,"개, 고양이",경상북도 상주시 북상주로 261,경상북도 상주시 부원동 149,36.452839,128.163931,2017-01-01,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,연중무휴,1,3,1,1,1,1,1,000-0000-0000,2019-05-27,5110000,경상북도 상주시,
옥천동물병원,옥천군농업기술센터,동물병원,반려동물,충청북도 옥천군 옥천읍 삼금로 53,충청북도 옥천군 옥천읍 삼양리 222-201,36.303037,127.568781,2015-01-01,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,없음,2,3,1,10,1,1,1,043-732-8844,2019-04-26,4430000,충청북도 옥천군,
여수시 동물보호센터,여수시,법인,개,전라남도 여수시 주동1길32,전라남도 여수시 주삼동 812-2,34.787811,127.653381,2014-01-01,09:00,18:00,10:00,17:00,09:00,09:00,09:00,09:00,"토,일,공휴일",0,1,0,50,10,1,1,061-659-4428,2018-11-06,4810000,전라남도 여수시,
한성동물병원,경기도 수원시,단체,"유실,유기동물(길고양이는 제외)+피학대동물 중 소유자 알수없거나, 적정한 치료및 보호를 받지 못하는 동물","경기도 수원시 팔달구 중부대로42번길 9, 1,3층 (인계동)",경기도 수원시 팔달구 인계동 752번지 13호,37.2748960555,127.0216348574,2019-01-01,09:00,18:00,09:00,18:00,,,,,공휴일,20,20,20,20,20,20,1,031-296-5911,2019-04-22,3740000,경기도 수원시,
(사)한국동물구조관리협회,서울특별시 중구,법인,개+고양이+기타,경기도 양주시 남면 감악산로 63-37,경기도 양주시 남면 상수리 410-1,37.870073,126.983225,2017-03-01,09:00,17:00,09:00,17:00,09:00,16:00,09:00,16:00,일요일,1,9,1,3,1,1,5,031-868-2851,2018-11-30,3010000,서울특별시 중구,
(사)대구광역시수의사회,대구광역시 중구청,동물병원,개+고양이+피학대 동물,대구광역시 북구 호국로 229,대구광역시 북구 서변동 1783-3,35.922346,128.599039,2019-01-01,09:00,18:00,,,09:00,18:00,,,없음,7,2,5,30,5,4,7,053-764-3708,2019-06-18,3410000,대구광역시 중구,
청양보호소,충청남도 청양군청,동물병원,고양이+개,충청남도 청양군 청양읍 칠갑산로 256,충청남도 청양군 청양읍 읍내리 164-2,36.4505568834,126.804759,2012-10-15,09:00,18:00,09:00,18:00,00:00,00:00,00:00,00:00,"토요일,일요일",1,2,1,1,1,1,1,000-0000-0000,2019-06-10,4590000,충청남도 청양군,
칠곡군 동물보호센터,칠곡 유기견사랑,단체,"개, 부상당한 고양이, 어미잃은 2개월령 이하 새끼 고양이",경상북도 칠곡군 석적읍 포망로 341,경상북도 칠곡군 석적읍 망정리 770-2,36.0408900572,128.441937,2018-04-24,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,일요일,0,2,0,15,1,1,1,054-973-5710,2019-06-20,5220000,경상북도 칠곡군,
강북동물병원,공주시청,개인,반려동물,충청남도 공주시 신관동 번영1로 54,충청남도 공주시 신관동 642-1,36.4723104,127.1343132,2017-02-28,10:00,19:00,10:00,19:00,,,,,"일요일,공휴일",1,1,1,1,1,1,1,041-856-9900,2019-05-30,4500000,충청남도 공주시,
양산시동물보호센터,양산시농업기술센터,법인,개+고양이,경상남도 양산시 양산대로 618,경상남도 양산시 동면 석산리 392,35.324540,129.034119,2007-11-21,09:00,18:00,,,,,,,연중무휴,0,0,,,,,,055-392-5337,2019-06-27,5380000,경상남도 양산시,
천안시 유기동물보호소,천안시,법인,"유기,유실 및 학대동물",충청남도 천안시 동남구 목천읍 학수소사길 132,충청남도 천안시 목천읍 소사리 178,36.7379013,127.1732576,2019-03-14,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,연중무휴,1,8,,,,,1,041-521-5735,2019-06-14,4490000,충청남도 천안시,
밀양시 위탁유기견관리보호소,경상남도 밀양시,개인,개,경상남도 밀양시 부북면 사포로 364,경상남도 밀양시 부북면 감천리 615-3,35.491188,128.729168,2013-01-01,09:00,18:00,09:00,18:00,,,,,공휴일,0,2,,,,,,055-356-8533,2019-03-08,5360000,경상남도 밀양시,
